r_cm,T_100s,T_300s,T_600s,T_900s,T_1200s,T_1500s,T_1800s
0.6333333333333333,28.00068566150628,28.07879263153478,28.587624522971737,29.540496082395578,30.81167655614138,32.30272684264122,33.89101705899003
0.65,28.000745924251532,28.081056025545877,28.595024781975837,29.552213513387755,30.82615745741782,32.31917625072151,33.907873132479835
0.6666666666666666,28.000811281126005,28.083403348288357,28.602642426617365,29.564254827866762,30.8410291164692,32.336060986330324,33.925169964536735
0.6833333333333332,28.000882124673467,28.08583652053153,28.610479278327944,29.576621301415628,30.856292444035205,32.353381399398586,33.94290761872372
0.7000000000000001,28.00095887710887,28.088357555158666,28.61853730752898,29.589314388130504,30.87194855786788,32.371138049789124,33.9610863785112
0.7166666666666667,28.001041992935313,28.090968562360274,28.626818638264126,29.602335723377394,30.88799878505921,32.389331707897725,33.97970674837097
0.7333333333333333,28.00113195149504,28.093671622685576,28.6353252333397,29.61568666096275,30.904444107147413,32.407962739282596,33.99876883324373
0.75,28.001229267439214,28.09646891301452,28.644059207220778,29.629368733156582,30.921285713270834,32.4270317179504,34.01827295961789
0.7666666666666666,28.001334493791603,28.099362712259563,28.65302283100027,29.643383653585374,30.938525002632105,32.44653942687705,34.03821967670558
0.7833333333333333,28.00144821251928,28.102355265286235,28.662218208538093,29.65773284785422,30.956163024522596,32.46648624009288,34.05860913448669
0.8,28.001571047366156,28.105448918136915,28.671647598205993,29.67241791995866,30.974201036434295,32.48687273826374,34.07944170611324
