time_h,centre_T_C,surface_T_C
1.6,46.54710496150193,47.661541005458105
1.6166666666666667,46.65373748078781,47.71308184503022
1.6333333333333333,46.75773536730475,47.77249719905598
1.65,46.85847737665131,47.889711277693834
1.6666666666666667,46.95535843296602,47.9886811555408
1.6833333333333333,47.04950563565558,48.05781670194591
1.7,47.14291556249162,48.09646428473877
1.7166666666666666,47.23578115371214,48.18794067020184
1.7333333333333334,47.32673864710614,48.26160221823244
1.75,47.41518103848546,48.321606307615696
1.7666666666666666,47.50190549800482,48.3638716723886
1.7833333333333334,47.58688960229398,48.39823600206972
1.8,47.66936779514538,48.427627650542036
1.8166666666666667,47.7483299822278,48.51604498333052
1.8333333333333333,47.82315095384013,48.565389057729476
1.85,47.89472393619661,48.5906888886816
1.8666666666666667,47.964510549390866,48.63044997131186
1.8833333333333333,48.03205049495085,48.69083706914148
1.9,48.096668708348716,48.718659878987694
1.9166666666666667,48.1588340245865,48.79178169727993
1.9333333333333333,48.2189949147716,48.851691230721144
1.95,48.27758758293169,48.89788027586661
1.9666666666666666,48.33574924878593,48.92303781540784
1.9833333333333334,48.39357275270771,48.96435758183861
2.0,48.45023540182444,49.00332482382447
2.0166666666666666,48.50503793531573,49.04385731661944
2.033333333333333,48.55805921115302,49.044914969397894
2.05,48.60942253580919,49.075473296900384
2.066666666666667,48.658531923681096,49.084982634979724
2.0833333333333335,48.70467279837692,49.12710643421116
2.1,48.74793573967867,49.15651652673273
2.1166666666666667,48.78875194091023,49.1688173607746
2.1333333333333333,48.828025141343915,49.182419475769166
2.15,48.86569363271656,49.23218148758605
2.1666666666666665,48.90134918560835,49.24696409892141
2.183333333333333,48.935578045363116,49.310020918247744
2.2,48.969140863473854,49.34169182991451
2.216666666666667,49.00260595416961,49.349313854230104
2.2333333333333334,49.03675371178883,49.379149352153206
2.25,49.07071990894565,49.37044534691336
2.2666666666666666,49.10365132448743,49.4304941207842
2.283333333333333,49.13499650457942,49.45165389624799
2.3,49.165033143201754,49.48535893545437
2.316666666666667,49.19498567473374,49.4707923421804
2.3333333333333335,49.22480792400984,49.49015595223415
2.35,49.25364358312163,49.51430444514261
2.3666666666666667,49.28052612514534,49.563718582517765
2.3833333333333333,49.30605884091125,49.57880633379813
2.4,49.33142991119985,49.58386293008772
2.4166666666666665,49.35719557169011,49.58037790771209
2.433333333333333,49.38242752442204,49.58718771188853
2.45,49.40606328856296,49.61025981681365
2.466666666666667,49.4276538837226,49.62444600010991
2.4833333333333334,49.44775170749887,49.607817764668255
2.5,49.466980624843586,49.66090886937201
2.5166666666666666,49.484929762641684,49.710235991096
2.533333333333333,49.502146715673916,49.69034637259489
2.55,49.520640981742645,49.70600282379064
2.566666666666667,49.53992687090596,49.69567309554941
2.5833333333333335,49.558411208252664,49.72672466899945
2.6,49.57559164690434,49.72824972074824
2.6166666666666667,49.59161348795891,49.7534277509954
2.6333333333333333,49.60711937540589,49.78127626861544
2.65,49.62231324967212,49.80403255988023
2.6666666666666665,49.63795117080099,49.77687605447903
2.683333333333333,49.65429494794114,49.81493361877199
2.7,49.67021802043536,49.802799242975254
2.716666666666667,49.68514503881221,49.77689970731882
2.7333333333333334,49.69936375510281,49.80052051586023
2.75,49.71159781374621,49.808417848224735
2.7666666666666666,49.721932929172226,49.84343033960181
2.783333333333333,49.73163891926134,49.86989768577553
2.8,49.7417521457902,49.85326870450314
2.816666666666667,49.753177695611896,49.88700745874968
2.8333333333333335,49.76513850212484,49.871273321645674
2.85,49.777017438035045,49.872688566692716
2.8666666666666667,49.788676969936034,49.86210179023698
2.8833333333333333,49.7991736792776,49.901836950795484
2.9,49.80829321680483,49.87995366234611
2.9166666666666665,49.81684026459283,49.851628111018385
2.933333333333333,49.825152467076634,49.86522398208473
2.95,49.83165813050158,49.91615353540311
2.966666666666667,49.8364492581058,49.943727879662674
2.9833333333333334,49.8418232363656,49.949977667021926
3.0,49.84949560607964,49.966412394785834
3.0166666666666666,49.85902729998651,49.981569952003156
