time_h,centre_C_kg_per_kg,surface_C_kg_per_kg
16.033333333333335,0.33307716448351654,0.09783416489699297
16.05,0.33273766187478554,0.09768961680739723
16.066666666666666,0.33239913362737644,0.09754572765858226
16.083333333333332,0.3320615759138553,0.0974024936997883
16.1,0.331724984923853,0.09725991120221203
16.116666666666667,0.3313893568639959,0.09711797645890535
16.133333333333333,0.3310546879578275,0.09697668578472947
16.15,0.33072097444574033,0.09683603551625393
16.166666666666668,0.33038821258489687,0.09669602201170568
16.183333333333334,0.33005639864916186,0.09655664165086619
16.2,0.32972552892902474,0.09641789083501853
16.216666666666665,0.32939559973153154,0.09627976598684292
16.233333333333334,0.32906660738020826,0.09614226355036014
16.25,0.32873854821499354,0.09600537999082885
16.266666666666666,0.32841141859216183,0.09586911179468292
16.283333333333335,0.32808521488425635,0.09573345546942745
16.3,0.32775993348001364,0.09559840754357508
16.316666666666666,0.3274355707842966,0.09546396456653844
16.333333333333332,0.32711212321801914,0.09533012310856576
16.35,0.3267895872180807,0.09519687976063677
16.366666666666667,0.3264679592372906,0.09506423113438985
16.383333333333333,0.3261472357443022,0.09493217386202016
16.4,0.3258274132235392,0.09480070459620416
16.416666666666668,0.32550848817513045,0.09466982000998896
16.433333333333334,0.32519045711483563,0.0945395167967238
16.45,0.32487331657398066,0.09440979166995132
16.466666666666665,0.32455706309938426,0.09428064136332939
16.483333333333334,0.3242416932532938,0.09415206263053677
16.5,0.32392720361331195,0.09402405224518032
16.516666666666666,0.32361359077233404,0.0938966070006873
16.533333333333335,0.3233008513384744,0.0937697237102317
16.55,0.3229889819350032,0.09364339920660789
16.566666666666666,0.32267797920027474,0.09351763034216523
16.583333333333332,0.3223678397876653,0.0933924139887227
16.6,0.32205856036550046,0.09326774703744986
16.616666666666667,0.3217501376169932,0.09314362639878303
16.633333333333333,0.3214425682401732,0.09302004900233043
16.65,0.32113584894782427,0.09289701179671295
16.666666666666668,0.3208299764674142,0.092774511749543
16.683333333333334,0.32052494754103394,0.09265254584735769
16.7,0.3202207589253266,0.09253111109544125
16.716666666666665,0.31991740739142643,0.09241020451772418
16.733333333333334,0.3196148897248899,0.09228982315674315
16.75,0.319313202725635,0.09216996407351766
16.766666666666666,0.3190123432078718,0.09205062434744357
16.783333333333335,0.31871230800004313,0.0919318010762029
16.8,0.3184130939447551,0.09181349137566522
16.816666666666666,0.31811469789871794,0.09169569237978226
16.833333333333332,0.3178171167326779,0.09157840124049701
16.85,0.31752034733135803,0.09146161512764152
16.866666666666667,0.3172243865933906,0.09134533122883794
16.883333333333333,0.31692923143125834,0.09122954674939841
